shapeName,avg_rainfall_mm,rainfall_zscore,ndvi_deviation,pop_density_norm,slope_norm,composite_risk_index,risk_category
Homa Bay,161.43565935863873,1.1766184409002793,-0.006047277623601244,0.0,0.1592262274168625,0.4853765799506569,Medium
Bomet,126.43314549180327,0.5096558018062267,0.035522761985277596,0.9996691366024492,0.21373542450684002,0.5602757991644873,Medium
Nyamira,171.62277088994566,1.3707308642969191,0.020653162656068536,0.9991057619107503,0.14407652620809794,0.6737855644320407,Medium
Narok,116.22362362852665,0.3151163561045505,-0.07130703417785178,0.9810752625938349,0.41251316649017933,0.6851520653701931,Medium
Kisii,187.84939236111111,1.6799243788302567,0.012219657197725442,0.9999528934731144,0.19880809654853798,0.7265466629599173,High
Murang'a,114.62990920608108,0.28474859505743083,0.00331117110621848,0.9891520250957501,0.5457491428778405,0.6044146380580778,Medium
Migori,162.0216649159664,1.1877846049799787,-0.01931635690898814,0.44886996404376706,0.18701829611223636,0.5956281867084892,Medium
Kiambu,122.94843093487395,0.4432555876324335,-0.008354069922350882,0.9939723281573708,0.428611875086107,0.626879128064163,Medium
Machakos,144.4601445018797,0.8531549824778883,-0.07804468383747709,0.9734474470900791,0.2821016275059716,0.7427835921336451,High
Kajiado,119.21378855519481,0.3720930720742762,-0.07328009977050692,0.9783829923110786,0.37621972913210683,0.6901840183147678,Medium
Nairobi,135.500634765625,0.682434151356579,-0.055160997527492206,0.9859447743084236,0.1314659920110079,0.6817127895578723,Medium
Makueni,185.80753382240854,1.6410173630424527,-0.07728603626014974,0.9983512913210102,0.3617906948376132,0.8483450630509191,High
Lamu,41.727487209623895,-1.1043856813002282,-0.1119006252082293,0.9193672300389115,0.0,0.5131006951993407,Medium
Kilifi,39.909264135254986,-1.1390313888844426,-0.10579820961433589,0.9913303062285245,0.07844416118730647,0.523694315987392,Medium
Taita Taveta,72.98717071280991,-0.5087415773981929,-0.14445946439394886,0.9846275070927927,0.294268744122745,0.6664782264376315,Medium
Kwale,41.391032176906776,-1.1107967333009847,-0.08760430932219737,0.9737365938302655,0.17816693870369352,0.5110510676517039,Medium
Mombasa,28.975553385416667,-1.3473700414894094,-0.045719208020514546,0.911380824416809,0.0038184329116414555,0.4013736309550299,Medium
